,artist_name,track_name,track_id,popularity
4172,Luke Combs,Hurricane,6xHI9KjUjYT0FPtGO8Mxa1,77
4173,Luke Combs,She Got the Best of Me,698eQRku24PIYPQPHItKlA,76
4174,Luke Combs,Without You,3zxAw8PaqpeGZ3Pakkxv3J,75
4175,Luke Combs,Lovin' On You,0nYvjcSlCgjcwogQAwIwNp,75
4176,Luke Combs,Even Though I'm Leaving,5Fhe63YOMZsGdB3CgCDuBi,75
4177,Chris Lane,"Big, Big Plans",7yNJCsUH3tXlpQiHSsAc5l,75
4178,Chris Lane,I Don't Know About You,3yOs8FffuG6hPbzQG9lIqV,71
4179,Chris Lane,Take Back Home Girl (feat. Tori Kelly),0N9uZRrJQ3lO5TmInEjLxc,67
4180,Gryffin,Hold You Tonight (with Chris Lane),58jecLK0epwMLr9cy5vFUy,69
4181,Chris Lane,For Her,19yTqpHTUrw7mOcRDvXYzn,57
4182,Chris Lane,Fix,6gXuwld0PRtinePSXV2Vn1,55
4183,Chris Lane,"Big, Big Plans (Acoustic)",3thumKnUsEWWqSNRlADxZ8,46
4184,Chris Tomlin,Gifts From God (feat. Chris Lane),1S2yuNLsKtee4wTsRLC0ul,46
4185,Chris Lane,Let Me Love You,7eq2eRzA0dOdGBUzaSDrkc,45
4186,Chris Lane,Fishin',6BZod0TkigBzcmTS0yub9d,44
4187,Miley Cyrus,Prisoner (feat. Dua Lipa),5JqZ3oqF00jkT81foAFvqg,90
4188,Miley Cyrus,Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,90
4189,Miley Cyrus,Heart Of Glass (Live from the iHeart Festival),5i7ThJfYLAzp2DyZuFpF6j,83
4190,Miley Cyrus,Plastic Hearts,6qCsKKS7Ol63SJW3LOIX5R,81
4191,Miley Cyrus,Prisoner (feat. Dua Lipa),2Oycxb8QbPkpHTo8ZrmG0B,82
4192,Miley Cyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,80
4193,Miley Cyrus,WTF Do I Know,37PJvlIfYWqEX6fgjHlnTf,78
4194,Miley Cyrus,Gimme What I Want,4v8jmsVox8VwU5js3JHOJZ,78
4195,Miley Cyrus,Night Crawling (feat. Billy Idol),4U34WsyOvppOMnRfq7DuOy,78
4196,Miley Cyrus,We Can't Stop,2y4lAQpi5VTNLu2ldeTdUH,79
4197,Sam Smith,Diamonds,5hvwx5i67IwnCkjl9VHkNv,87
4198,Sam Smith,Have Yourself A Merry Little Christmas,1Qi2wh8fFgDV7tl4Sj3f2K,83
4199,Sam Smith,Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,83
4200,Sam Smith,Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,82
4201,Sam Smith,The Lighthouse Keeper,2WUVQQAsWvScEdBVilRYaR,79
4202,Sam Smith,I'm Not The Only One,7795WJLVKJoAyVoOtCWqXN,82
4203,Sam Smith,How Do You Sleep?,6b2RcmUt1g9N9mQ3CbjX2Y,82
4204,Sam Smith,To Die For,2ZTYlnhhV1UAReg7wIGolx,78
4205,Calvin Harris,Promises (with Sam Smith),5N5k9nd479b1xpDZ4usjrg,80
4206,Sam Smith,The Lighthouse Keeper,3aVwV0zmGlXK40tfOhGYIW,61
4207,Bad Bunny,Dakiti,47EiUVwUp4C9fGccaPuUCS,100
4208,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,93
4209,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,90
4210,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,88
4211,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
4212,Bad Bunny,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4,88
4213,Bad Bunny,BOOKER T,26w9NTiE9NGjW1ZvIOd1So,86
4214,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,86
4215,Bad Bunny,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4,86
4216,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,85
4217,Russell Dickerson,Love You Like I Used To,1D7cfiC5mxqHfTCcOiRBej,76
4218,Russell Dickerson,Yours,3I4WFddKpe2PGZWFh7f10J,70
4219,Russell Dickerson,Every Little Thing,3kgCJPXDlnL5bl1HFesHUi,70
4220,Russell Dickerson,Blue Tacoma,5PBx0zFfehUMyv5H4YXVAU,70
4221,Russell Dickerson,It's About Time (feat. Florida Georgia Line),7eQEnXy5vNjPv6aXVl6N26,69
4222,Russell Dickerson,Yours - Wedding Edition,30AECxqqjI4oU91fOhAi8I,66
4223,Russell Dickerson,Southern Symphony,4nAE5UQFlXguukpVQoX7E4,60
4224,Clara Mae,Alright (feat. Russell Dickerson),1h8X2tLPGk35kQ5hRY4rul,63
4225,Russell Dickerson,Forever For A Little While,2GqSBgtyk6MNnrAyiu66LQ,52
4226,Russell Dickerson,"All Yours, All Night",4w7fZLpsRfTNlIz59KlSlW,51
4227,Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx,79
4228,Chris Stapleton,Starting Over,3TNSVsiFngfe68UJpMq1oS,77
4229,Chris Stapleton,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt,75
4230,Chris Stapleton,Broken Halos,06gD2ZtK3Dzc1BYqWExQJJ,71
4231,Chris Stapleton,Starting Over,3K07bGe8iljQ3mOKArHLDo,71
4232,Chris Stapleton,Parachute,5jROdl6MhcmP3O7h2sVgtw,70
4233,Chris Stapleton,Millionaire,68JS5SFTnW5Yv9Vzw81Jf0,69
4234,Chris Stapleton,Devil Always Made Me Think Twice,3olGkpomYOWwRZsbFTZqiX,68
4235,Chris Stapleton,Fire Away,5j4hSQH0KaAc8f6cimnXIT,68
4236,Chris Stapleton,Cold,24nhOvYX2gk3txBbMzXeUB,68
4237,Jon Pardi,Ain't Always The Cowboy,77XoAnllT85lmR9WP0D8dS,73
4238,Jon Pardi,Night Shift,0bPnT6i9H1p8Vd85GS6Z7I,72
4239,Jon Pardi,Heartache On The Dance Floor,0w3Q14i073jLoew1hgJkwD,71
4240,Jon Pardi,Head Over Boots,4ly1QBXEwYoDmje9rmEgC4,72
4241,Thomas Rhett,Beer Can’t Fix,7idmHTAQQPUFqdjXkoooXD,72
4242,Jon Pardi,Dirt On My Boots,7f08qp3HROTkfrtNpiYGGo,72
4243,Jon Pardi,Heartache Medication,5qdQPrWmZv8xYhMJCDrdHF,67
4244,Jon Pardi,Heartache Medication,6ZvAXIWw3rw8WR0Xlmifri,63
4245,Jon Pardi,When I've Been Drinkin',59O0lOCAMdBugXQrEGR6A6,59
4246,Jon Pardi,She Ain't In It,1Be8liECvEP5NYZjYvukbI,58
4247,Bad Bunny,Dakiti,47EiUVwUp4C9fGccaPuUCS,100
4248,Bad Bunny,LA NOCHE DE ANOCHE,2XIc1pqjXV3Cr2BQUGNBck,93
4249,Bad Bunny,TE MUDASTE,5RubKOuDoPn5Kj5TLVxSxY,90
4250,Bad Bunny,YO VISTO ASÍ,5fROvzNghPid8mbKNDYvpJ,88
4251,Bad Bunny,DÁKITI,4MzXwWMhyBbmu6hOcLVD49,89
4252,Bad Bunny,HACIENDO QUE ME AMAS,26QApq0cuO9brJigr0C0W4,88
4253,Bad Bunny,BOOKER T,26w9NTiE9NGjW1ZvIOd1So,86
4254,Bad Bunny,Safaera,2DEZmgHKAvm41k4J3R2E9Y,86
4255,Bad Bunny,TE DESEO LO MEJOR,23XjN1s3DZC8Q9ZwuorYY4,86
4256,Bad Bunny,Yo Perreo Sola,0SqqAgdovOE24BzxIClpjw,85
4257,Trey Lewis,Dicked Down in Dallas,1yhft6ZqYadd4GOrKrmK3a,75
4258,Trey Lewis,Whole Lotta Nothin,6kMR9K6qQqas6SoGIkbwkj,55
4259,Trey Lewis,Lying Ex to Me,6jZFf5GJJboJbLUVpkHHBC,51
4260,Trey Lewis,Whiskey Miss Me,6NVtHzig9V82yR1xdz2QHt,48
4261,Trey Lewis,Dearest Darlin,7MIgdStrKqwSMHli4uT2Yu,44
4262,Trey Lewis,Back to Birmingham,4Cy9sOoaWRyPzAoaVQ6mkS,42
4263,Trey Lewis,My Way,4b52lQ97Hsym0EfmhEErPc,40
4264,Trey Lewis,Told You,7gaf0vNkT1oNU02NFeYaRK,38
4265,Trey Lewis,Country Boy Crazy,02tLx2b8iDqYPDlyjpLnri,38
4266,Trey Lewis,Breathless,7cymREUXT3Pq8dkiIQUG88,36
4267,Dan + Shay,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,86
4268,Dan + Shay,I Should Probably Go To Bed,5ovVcYo2MvjVydFwFyaaqy,79
4269,Dan + Shay,Speechless,3GJ4hzg4lrGwU51Y3VARbF,76
4270,Dan + Shay,Take Me Home For Christmas,72HP2M4jjw4t0AIGdEVGEF,78
4271,Dan + Shay,Tequila,42fw0rxRO2xbesF6mJfd4Y,75
4272,Dan + Shay,All To Myself,08tq1XcHwVt5PHXUo87i0D,70
4273,Dan + Shay,Tequila,7Il2yWQmsqKgSkLQvHTPUI,70
